task,feature_set,model,label,precision,recall,f1-score,support
binary,A0_CoreFlow,GaussianNB,Attack,0.4924612552833704,0.9693272800465179,0.6531124271054654,89428.0
binary,A0_CoreFlow,GaussianNB,Benign,0.8855939272605939,0.19202872336577073,0.31561970449207716,110572.0
binary,A0_CoreFlow,GaussianNB,macro avg,0.6890275912719822,0.5806780017061444,0.4843660657987713,200000.0
binary,A0_CoreFlow,GaussianNB,weighted avg,0.7098085843126982,0.53959,0.4665262004814275,200000.0
binary,A0_CoreFlow,LogisticRegression,Attack,0.7185288075256385,0.9660061725634029,0.824088868962162,89428.0
binary,A0_CoreFlow,LogisticRegression,Benign,0.9618909127377117,0.693946026118728,0.8062392628045161,110572.0
binary,A0_CoreFlow,LogisticRegression,macro avg,0.8402098601316751,0.8299760993410654,0.815164065883339,200000.0
binary,A0_CoreFlow,LogisticRegression,weighted avg,0.8530739810131852,0.815595,0.8142205357018459,200000.0
binary,A0_CoreFlow,RandomForest,Attack,0.9474509040995212,0.980241087802478,0.9635671142230601,89428.0
binary,A0_CoreFlow,RandomForest,Benign,0.9835592731468128,0.9560286510147235,0.9695985764667575,110572.0
binary,A0_CoreFlow,RandomForest,macro avg,0.965505088623167,0.9681348694086007,0.9665828453449088,200000.0
binary,A0_CoreFlow,RandomForest,weighted avg,0.967413777011007,0.966855,0.9669016684391106,200000.0
binary,A0_CoreFlow,ExtraTrees,Attack,0.9406365402266954,0.9855078946191349,0.9625495571258506,89428.0
binary,A0_CoreFlow,ExtraTrees,Benign,0.9878087784320735,0.9496979343776001,0.9683785353977813,110572.0
binary,A0_CoreFlow,ExtraTrees,macro avg,0.9642226593293844,0.9676029144983676,0.9654640462618159,200000.0
binary,A0_CoreFlow,ExtraTrees,weighted avg,0.9667161838409207,0.96571,0.9657721660532702,200000.0
binary,A0_CoreFlow,HistGradientBoosting,Attack,0.9690581895821331,0.9592297714362392,0.9641189329526999,89428.0
binary,A0_CoreFlow,HistGradientBoosting,Benign,0.9672942886104109,0.9752288101870275,0.9712453445379665,110572.0
binary,A0_CoreFlow,HistGradientBoosting,macro avg,0.968176239096272,0.9672292908116333,0.9676821387453332,200000.0
binary,A0_CoreFlow,HistGradientBoosting,weighted avg,0.9680829992909069,0.968075,0.9680588408617304,200000.0
binary,A1_Core_PortProtocol,GaussianNB,Attack,0.5217921034536834,0.967370398532898,0.6779196150802047,89428.0
binary,A1_Core_PortProtocol,GaussianNB,Benign,0.9146933286557913,0.28296494591759214,0.4322203649725787,110572.0
binary,A1_Core_PortProtocol,GaussianNB,macro avg,0.7182427160547373,0.625167672225245,0.5550699900263917,200000.0
binary,A1_Core_PortProtocol,GaussianNB,weighted avg,0.7390114748189208,0.58899,0.5420823276657026,200000.0
binary,A1_Core_PortProtocol,LogisticRegression,Attack,0.746998129487721,0.9690477255445722,0.8436567545597476,89428.0
binary,A1_Core_PortProtocol,LogisticRegression,Benign,0.9670433032897165,0.734553051405419,0.8349155277779206,110572.0
binary,A1_Core_PortProtocol,LogisticRegression,macro avg,0.8570207163887188,0.8518003884749956,0.8392861411688342,200000.0
binary,A1_Core_PortProtocol,LogisticRegression,weighted avg,0.8686523042758922,0.839405,0.8388240799211467,200000.0
binary,A1_Core_PortProtocol,RandomForest,Attack,0.9954192816804949,0.991423267880306,0.993417256312431,89428.0
binary,A1_Core_PortProtocol,RandomForest,Benign,0.9930857920689438,0.9963100965886481,0.9946953314402063,110572.0
binary,A1_Core_PortProtocol,RandomForest,macro avg,0.9942525368747193,0.993866682234477,0.9940562938763187,200000.0
binary,A1_Core_PortProtocol,RandomForest,weighted avg,0.9941291886138528,0.994125,0.9941238529275729,200000.0
binary,A1_Core_PortProtocol,ExtraTrees,Attack,0.9900261061650713,0.9923066601064544,0.9911650713160804,89428.0
binary,A1_Core_PortProtocol,ExtraTrees,Benign,0.9937661961111212,0.9919147704663025,0.9928396201649331,110572.0
binary,A1_Core_PortProtocol,ExtraTrees,macro avg,0.9918961511380961,0.9921107152863784,0.9920023457405067,200000.0
binary,A1_Core_PortProtocol,ExtraTrees,weighted avg,0.9920938522926445,0.99209,0.9920908623926571,200000.0
binary,A1_Core_PortProtocol,HistGradientBoosting,Attack,0.994558815280193,0.9913002638994498,0.9929268661480822,89428.0
binary,A1_Core_PortProtocol,HistGradientBoosting,Benign,0.9929824561403509,0.9956137177585646,0.9942963461390825,110572.0
binary,A1_Core_PortProtocol,HistGradientBoosting,macro avg,0.9937706357102719,0.9934569908290072,0.9936116061435823,200000.0
binary,A1_Core_PortProtocol,HistGradientBoosting,weighted avg,0.9936873093661398,0.993685,0.9936839968559066,200000.0
binary,A2_Core_PortProtocol_Temporal,GaussianNB,Attack,0.5303141425253637,0.9702777653531333,0.6857987417406974,89428.0
binary,A2_Core_PortProtocol_Temporal,GaussianNB,Benign,0.9269378779549203,0.30497775205296096,0.4589525831564048,110572.0
binary,A2_Core_PortProtocol_Temporal,GaussianNB,macro avg,0.7286260102401421,0.6376277587030471,0.5723756624485511,200000.0
binary,A2_Core_PortProtocol_Temporal,GaussianNB,weighted avg,0.7495915408949484,0.60246,0.5603845745057854,200000.0
binary,A2_Core_PortProtocol_Temporal,LogisticRegression,Attack,0.5185904683046448,0.36418124077470143,0.42788167826104095,89428.0
binary,A2_Core_PortProtocol_Temporal,LogisticRegression,Benign,0.5855654924598576,0.7265763484426437,0.6484939722566402,110572.0
binary,A2_Core_PortProtocol_Temporal,LogisticRegression,macro avg,0.5520779803822512,0.5453787946086726,0.5381878252588406,200000.0
binary,A2_Core_PortProtocol_Temporal,LogisticRegression,weighted avg,0.5556182801590958,0.564535,0.549849391119448,200000.0
binary,A2_Core_PortProtocol_Temporal,RandomForest,Attack,0.9954195902329498,0.9914903609607729,0.9934510904578635,89428.0
binary,A2_Core_PortProtocol_Temporal,RandomForest,Benign,0.993139508677034,0.9963100965886481,0.9947222761482096,110572.0
binary,A2_Core_PortProtocol_Temporal,RandomForest,macro avg,0.9942795494549919,0.9939002287747105,0.9940866833030366,200000.0
binary,A2_Core_PortProtocol_Temporal,RandomForest,weighted avg,0.9941590243439462,0.994155,0.9941538781786282,200000.0
binary,A2_Core_PortProtocol_Temporal,ExtraTrees,Attack,0.9923462536925969,0.991680458022096,0.9920132441441643,89428.0
binary,A2_Core_PortProtocol_Temporal,ExtraTrees,Benign,0.9932750018077953,0.9938139854574395,0.9935444205348909,110572.0
binary,A2_Core_PortProtocol_Temporal,ExtraTrees,macro avg,0.992810627750196,0.9927472217397677,0.9927788323395276,200000.0
binary,A2_Core_PortProtocol_Temporal,ExtraTrees,weighted avg,0.9928597213755656,0.99286,0.9928597703235413,200000.0
binary,A2_Core_PortProtocol_Temporal,HistGradientBoosting,Attack,0.9952324329175267,0.9920718343248199,0.993649620321215,89428.0
binary,A2_Core_PortProtocol_Temporal,HistGradientBoosting,Benign,0.9936043155084073,0.9961563506131751,0.9948786964611521,110572.0
binary,A2_Core_PortProtocol_Temporal,HistGradientBoosting,macro avg,0.9944183742129671,0.9941140924689975,0.9942641583911835,200000.0
binary,A2_Core_PortProtocol_Temporal,HistGradientBoosting,weighted avg,0.994332311926721,0.99433,0.9943291273559406,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,GaussianNB,Attack,0.5847144929002664,0.9692825513262066,0.7294139426859593,89428.0
binary,A3_AllNumeric_NoCMG_NoRWAR,GaussianNB,Benign,0.9469230026084436,0.443222515645914,0.6038182187806095,110572.0
binary,A3_AllNumeric_NoCMG_NoRWAR,GaussianNB,macro avg,0.765818747754355,0.7062525334860603,0.6666160807332844,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,GaussianNB,weighted avg,0.7849650895775293,0.678445,0.6599770907676477,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,LogisticRegression,Attack,0.5273129435308678,0.44785749429708815,0.4843482624969011,89428.0
binary,A3_AllNumeric_NoCMG_NoRWAR,LogisticRegression,Benign,0.6019492611671383,0.675306587562855,0.6365213388514996,110572.0
binary,A3_AllNumeric_NoCMG_NoRWAR,LogisticRegression,macro avg,0.564631102349003,0.5615820409299715,0.5604348006742004,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,LogisticRegression,weighted avg,0.5685763780992562,0.573605,0.5684786694903045,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,Attack,0.9998650745463131,0.9943865456009303,0.9971182848749202,89428.0
binary,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,Benign,0.9954800021609551,0.9998914734290779,0.9976808612397015,110572.0
binary,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,macro avg,0.9976725383536341,0.9971390095150041,0.9973995730573109,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,weighted avg,0.9974407434273441,0.99743,0.9974293108439531,200000.0
