task,feature_set,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
binary,A5_CMG_GraphMemory,ExtraTrees,600000,200000,84,2,0.997565,0.997282484898968,0.9978016814894708,0.997282484898968,0.9975362064055118,0.9975752178541476,0.997565,0.9975643647590504,0.9950840309400382,0.9982919817105568,0.9977840497672994,0.022180040260476108,23.006854100036435,0.6729316000128165,0.0033646580000640824
binary,A6_Full_CAVALRY_AI,HistGradientBoosting,600000,200000,93,2,0.99754,0.9972545294487734,0.9977792660484265,0.9972545294487734,0.9975108971685,0.9975504329867325,0.99754,0.9975393513564792,0.9950336571358099,0.999202818324904,0.9991850210158337,0.013477847974862968,16.231346299988218,0.5447105999919586,0.0027235529999597927
binary,A5_CMG_GraphMemory,HistGradientBoosting,600000,200000,84,2,0.997535,0.9972489383587345,0.9977747832023882,0.9972489383587345,0.9975058352874941,0.9975454762810271,0.997535,0.9975343486587995,0.9950235826132703,0.9992020560046653,0.9992002929166622,0.013432586951110862,15.320894599950407,0.531365700007882,0.0026568285000394096
binary,A5_CMG_GraphMemory,RandomForest,600000,200000,84,2,0.997525,0.9972377561786567,0.9977658177524651,0.9972377561786567,0.9974957114918725,0.9975355631373741,0.997525,0.9975243432462693,0.9950034338064768,0.9985811311524443,0.9981112312795982,0.02401734948539339,31.87291539995931,0.512465699983295,0.0025623284999164754
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,RandomForest,600000,200000,35,2,0.99752,0.9972332342382015,0.9977601766893001,0.9972332342382015,0.9974906550689504,0.9975305142472523,0.99752,0.9975193433074427,0.9949932713947354,0.9984506737669837,0.9977371971642419,0.032459613810347634,25.078269399993587,0.2845801000366919,0.0014229005001834593
binary,A6_Full_CAVALRY_AI,RandomForest,600000,200000,93,2,0.9975,0.9972151464763812,0.9977376136969913,0.9972151464763812,0.9974704294866386,0.9975103198131158,0.9975,0.9974993436068067,0.9949526229949925,0.9985296615916573,0.9980246202560963,0.024736343039557226,32.50015719997464,0.5574974000337534,0.002787487000168767
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,HistGradientBoosting,600000,200000,35,2,0.99749,0.997206102595471,0.9977263329569881,0.997206102595471,0.9974603167610976,0.9975002232718045,0.99749,0.9974893437892797,0.9949322995434008,0.9991930002409439,0.9991518951161396,0.013682452588582507,8.743493799993303,0.3779715999844484,0.001889857999922242
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,ExtraTrees,600000,200000,35,2,0.997485,0.9971930274583454,0.9977299591811627,0.9971930274583454,0.997455215861135,0.997495914132518,0.997485,0.9974843213670814,0.994922841756085,0.9981397034391994,0.9974470221690459,0.02276684331339901,14.365390399994794,0.4565073000267148,0.0022825365001335743
binary,A3_AllNumeric_NoCMG_NoRWAR,HistGradientBoosting,600000,200000,78,2,0.997475,0.997191467624522,0.9977105691868267,0.997191467624522,0.9974451421658799,0.9974851698345656,0.997475,0.9974743412799187,0.9949019013877388,0.9991983756200427,0.9991974006086037,0.013749845000383473,14.252922300016508,0.5282080000033602,0.002641040000016801
binary,A4_RWAR_RiskRouting,HistGradientBoosting,600000,200000,87,2,0.997475,0.9971882601757706,0.9977140408517466,0.9971882601757706,0.9974451253959119,0.9974854438472542,0.997475,0.9974743328046528,0.99490216209662,0.9991951005151172,0.9991808498352751,0.013760713264373984,16.04961149999872,0.5691074000205845,0.002845537000102922
binary,A4_RWAR_RiskRouting,RandomForest,600000,200000,87,2,0.99745,0.9971581664264083,0.99769394550356,0.9971581664264083,0.9974198041945136,0.9974608479020022,0.99745,0.9974493133510678,0.9948519676576505,0.9985841916588627,0.998077420246803,0.025263507185712023,35.72389820002718,0.5829311999841593,0.0029146559999207967
binary,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,600000,200000,78,2,0.99743,0.9971390095150041,0.9976725383536341,0.9971390095150041,0.9973995730573109,0.9974407434273441,0.99743,0.9974293108439531,0.9948114047998114,0.9984305402402248,0.9978414861253142,0.025387130086915403,31.16126559994882,0.504619300016202,0.0025230965000810103
binary,A6_Full_CAVALRY_AI,ExtraTrees,600000,200000,93,2,0.997415,0.997112613898633,0.9976695449979412,0.997112613898633,0.9973843353188676,0.9974267362170846,0.997415,0.9974142763956565,0.9947820029969782,0.9982139504268726,0.9977013698517851,0.021810550409940066,23.194093300029635,0.7184177999733947,0.0035920889998669737
