task,feature_set,model,label,precision,recall,f1-score,support
multiclass,A0_CoreFlow,GaussianNB,Benign,0.9560975609756097,0.01240439035857006,0.024491034532001677,110606.0
multiclass,A0_CoreFlow,GaussianNB,Bot,0.0009657170449058426,0.0009309542280837859,0.0009480170643071576,19335.0
multiclass,A0_CoreFlow,GaussianNB,Brute Force -Web,0.00018191740949608878,0.008403361344537815,0.00035612535612535614,119.0
multiclass,A0_CoreFlow,GaussianNB,DDoS-HOIC,0.3751872531662808,0.983665089708114,0.5431916204559458,22406.0
multiclass,A0_CoreFlow,GaussianNB,DDoS-LOIC-HTTP,0.6463275895557591,0.9958955064346487,0.7839065760247694,23389.0
multiclass,A0_CoreFlow,GaussianNB,DDoS-LOIC-UDP,0.9910979228486647,0.9910979228486647,0.9910979228486647,337.0
multiclass,A0_CoreFlow,GaussianNB,DoS-GoldenEye,0.32356143730630704,0.47773930249814495,0.38581772784019974,8086.0
multiclass,A0_CoreFlow,GaussianNB,DoS-Hulk,0.08820087243323758,0.17612067134055662,0.11753863604140083,4707.0
multiclass,A0_CoreFlow,GaussianNB,DoS-SlowHTTPTest,0.09952098827681835,0.8319283456269758,0.17777527583877506,3796.0
multiclass,A0_CoreFlow,GaussianNB,DoS-Slowloris,0.06680084339658808,0.6949152542372882,0.12188510973157296,2006.0
multiclass,A0_CoreFlow,GaussianNB,FTP-BruteForce,0.321572130415364,0.3027754415475189,0.31189083820662766,4756.0
multiclass,A0_CoreFlow,GaussianNB,Infiltration,0.0011198208286674132,0.002188183807439825,0.0014814814814814814,457.0
multiclass,A0_CoreFlow,GaussianNB,macro avg,0.3225528378048082,0.45650536866504526,0.28836503045182266,200000.0
multiclass,A0_CoreFlow,GaussianNB,weighted avg,0.6734969723269759,0.288715,0.198215564283988,200000.0
multiclass,A0_CoreFlow,LogisticRegression,Benign,0.844423583781637,0.2114532665497351,0.33821392160690655,110606.0
multiclass,A0_CoreFlow,LogisticRegression,Bot,0.0,0.0,0.0,19335.0
multiclass,A0_CoreFlow,LogisticRegression,Brute Force -Web,0.0006708193579300432,0.23529411764705882,0.0013378246016388352,119.0
multiclass,A0_CoreFlow,LogisticRegression,DDoS-HOIC,0.0,0.0,0.0,22406.0
multiclass,A0_CoreFlow,LogisticRegression,DDoS-LOIC-HTTP,0.0,0.0,0.0,23389.0
multiclass,A0_CoreFlow,LogisticRegression,DDoS-LOIC-UDP,0.6419047619047619,1.0,0.7819025522041764,337.0
multiclass,A0_CoreFlow,LogisticRegression,DoS-GoldenEye,0.0,0.0,0.0,8086.0
multiclass,A0_CoreFlow,LogisticRegression,DoS-Hulk,0.0,0.0,0.0,4707.0
