task,feature_set,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
multiclass,A6_Full_CAVALRY_AI,RandomForest,600000,200000,93,12,0.98952,0.8642075775945854,0.8914877249673974,0.8642075775945854,0.8751534228979416,0.9886843143971368,0.98952,0.9889905025775367,0.9840027945377103,0.9835294867616842,0.8908602873348649,0.04643485473620133,48.85826049995376,1.7883827000041492,0.008941913500020746
multiclass,A4_RWAR_RiskRouting,RandomForest,600000,200000,87,12,0.989525,0.8623000069735459,0.8899046467564928,0.8623000069735459,0.8733009808711326,0.9885894299525742,0.989525,0.9889443626623408,0.9840091016917581,0.9827130083324759,0.8911500133973149,0.04812026473519545,48.24864470004104,1.8434874000377022,0.00921743700018851
multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,RandomForest,600000,200000,35,12,0.9896,0.8639156713237378,0.8858789102985675,0.8639156713237378,0.8729936339495316,0.9886662388362234,0.9896,0.9890260353246905,0.9841239396725482,0.9781047652364828,0.8907200826512156,0.05573935849288458,39.38063530001091,1.4814058000338264,0.007407029000169132
multiclass,A5_CMG_GraphMemory,RandomForest,600000,200000,84,12,0.982795,0.8435020831462072,0.8643107526645775,0.8435020831462072,0.8521318336721566,0.9824589624551089,0.982795,0.9825690128635116,0.9737385819222227,0.981100904076726,0.8627122368225754,0.058546888127580105,44.86876109999139,1.7617843999760225,0.008808921999880112
multiclass,A3_AllNumeric_NoCMG_NoRWAR,HistGradientBoosting,600000,200000,78,12,0.98857,0.8566150242837346,0.8574675017606991,0.8566150242837346,0.8515560683786063,0.9868954504862308,0.98857,0.9875214783673467,0.9825442650869766,0.9760073098595418,0.855608911869175,0.11029118918206719,14.04683990002377,0.524364200013224,0.00262182100006612
multiclass,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,600000,200000,78,12,0.982675,0.8410407947334512,0.8658340383145916,0.8410407947334512,0.8510203103634503,0.9823800065546464,0.982675,0.982465063595053,0.9735548737931793,0.9815839801828522,0.8624869224784519,0.059004884589284975,31.745340799971018,1.1241080000181682,0.005620540000090841
multiclass,A4_RWAR_RiskRouting,HistGradientBoosting,600000,200000,87,12,0.98885,0.8521788173964752,0.8513247729049068,0.8521788173964752,0.8509957274937346,0.9873542536757024,0.98885,0.987983518520278,0.9829771845888403,0.977532101913372,0.8600177169050603,0.05319153987083431,41.62654450000264,1.5234700000146404,0.007617350000073202
multiclass,A6_Full_CAVALRY_AI,HistGradientBoosting,600000,200000,93,12,0.988455,0.8580997203283257,0.8294119251227574,0.8580997203283257,0.8375447875674932,0.9871245424027346,0.988455,0.9876024519553873,0.9823803304223435,0.9824666625789318,0.8338673174462907,0.07918832740009735,41.87920499994652,1.5445718000410125,0.007722859000205063
multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,ExtraTrees,600000,200000,35,12,0.979775,0.8947959373641322,0.8246431412845389,0.8947959373641322,0.8343371834943403,0.988560120595559,0.979775,0.9838141676840048,0.9695213178596436,0.9852048348397805,0.881200046258638,0.1032130093650995,20.840195600001607,1.8230021999916062,0.009115010999958031
multiclass,A4_RWAR_RiskRouting,ExtraTrees,600000,200000,87,12,0.975395,0.8951001623891249,0.8194488859816368,0.8951001623891249,0.8264781880917996,0.9884898070630009,0.975395,0.9814891659056313,0.9631781547944701,0.9863344149034753,0.8809525099099763,0.11319859505997741,32.37522980000358,2.156621600035578,0.01078310800017789
