task,mail_setting,label,precision,recall,f1-score,support
binary,MAIL_Full,Attack,0.9999054284093059,0.9980648510879313,0.9989842919570096,21187.0
binary,MAIL_Full,Benign,0.9980395907047911,0.9999041916167665,0.9989710210821029,20875.0
binary,MAIL_Full,macro avg,0.9989725095570485,0.9989845213523489,0.9989776565195563,42062.0
binary,MAIL_Full,weighted avg,0.9989794295960838,0.998977699586325,0.9989777057387206,42062.0
binary,MAIL_without_SA,Attack,0.9998109104661057,0.9982536461037429,0.9990316714295836,21187.0
binary,MAIL_without_SA,Benign,0.9982303424526497,0.9998083832335329,0.9990187396788167,20875.0
binary,MAIL_without_SA,macro avg,0.9990206264593777,0.9990310146686379,0.9990252055542002,42062.0
binary,MAIL_without_SA,weighted avg,0.9990264884871011,0.999025248442775,0.9990252535156171,42062.0
binary,MAIL_without_HA,Attack,0.9999054418230816,0.9982064473497899,0.9990552222589636,21187.0
binary,MAIL_without_HA,Benign,0.9981827746162307,0.9999041916167665,0.9990427415880917,20875.0
binary,MAIL_without_HA,macro avg,0.9990441082196562,0.9990553194832782,0.9990489819235276,42062.0
binary,MAIL_without_HA,weighted avg,0.9990504972664033,0.999049022871,0.9990490282119746,42062.0
binary,MAIL_without_OA,Attack,0.9998581627346225,0.998159248595837,0.9990079833719118,21187.0
binary,MAIL_without_OA,Benign,0.9981349528956052,0.9998562874251496,0.9989948786674963,20875.0
binary,MAIL_without_OA,macro avg,0.9989965578151139,0.9990077680104934,0.999001431019704,42062.0
binary,MAIL_without_OA,weighted avg,0.9990029488743808,0.99900147401455,0.9990014796225735,42062.0
binary,MAIL_without_SPA,Attack,0.9999054462934948,0.9982536461037429,0.999078863459222,21187.0
binary,MAIL_without_SPA,Benign,0.9982305117168819,0.9999041916167665,0.999066650711978,20875.0
binary,MAIL_without_SPA,macro avg,0.9990679790051884,0.9990789188602547,0.9990727570856,42062.0
binary,MAIL_without_SPA,weighted avg,0.9990741910206405,0.9990727972992249,0.9990728023803689,42062.0
binary,MAIL_without_GMA,Attack,0.9999054462934948,0.9982536461037429,0.999078863459222,21187.0
binary,MAIL_without_GMA,Benign,0.9982305117168819,0.9999041916167665,0.999066650711978,20875.0
binary,MAIL_without_GMA,macro avg,0.9990679790051884,0.9990789188602547,0.9990727570856,42062.0
binary,MAIL_without_GMA,weighted avg,0.9990741910206405,0.9990727972992249,0.9990728023803689,42062.0
binary,MAIL_without_RA,Attack,0.9998109104661057,0.9982536461037429,0.9990316714295836,21187.0
binary,MAIL_without_RA,Benign,0.9982303424526497,0.9998083832335329,0.9990187396788167,20875.0
binary,MAIL_without_RA,macro avg,0.9990206264593777,0.9990310146686379,0.9990252055542002,42062.0
binary,MAIL_without_RA,weighted avg,0.9990264884871011,0.999025248442775,0.9990252535156171,42062.0
binary,MAIL_without_FA,Attack,0.9999054418230816,0.9982064473497899,0.9990552222589636,21187.0
binary,MAIL_without_FA,Benign,0.9981827746162307,0.9999041916167665,0.9990427415880917,20875.0
binary,MAIL_without_FA,macro avg,0.9990441082196562,0.9990553194832782,0.9990489819235276,42062.0
binary,MAIL_without_FA,weighted avg,0.9990504972664033,0.999049022871,0.9990490282119746,42062.0
binary,MAIL_without_SHA,Attack,0.9999054284093059,0.9980648510879313,0.9989842919570096,21187.0
binary,MAIL_without_SHA,Benign,0.9980395907047911,0.9999041916167665,0.9989710210821029,20875.0
binary,MAIL_without_SHA,macro avg,0.9989725095570485,0.9989845213523489,0.9989776565195563,42062.0
binary,MAIL_without_SHA,weighted avg,0.9989794295960838,0.998977699586325,0.9989777057387206,42062.0
binary,MAIL_Low_Risk_Route,Attack,0.997918637653737,0.9957049133902866,0.9968105464597066,21187.0
binary,MAIL_Low_Risk_Route,Benign,0.9956505114233821,0.9978922155688623,0.9967701031174486,20875.0
binary,MAIL_Low_Risk_Route,macro avg,0.9967845745385595,0.9967985644795745,0.9967903247885777,42062.0
binary,MAIL_Low_Risk_Route,weighted avg,0.9967929865896256,0.9967904521896248,0.9967904747852823,42062.0
binary,MAIL_Medium_Risk_Route,Attack,0.9982964224872232,0.9957049133902866,0.9969989839079373,21187.0
binary,MAIL_Medium_Risk_Route,Benign,0.9956521739130435,0.9982754491017964,0.9969620858748953,20875.0
binary,MAIL_Medium_Risk_Route,macro avg,0.9969742982001333,0.9969901812460416,0.9969805348914162,42062.0
binary,MAIL_Medium_Risk_Route,weighted avg,0.9969841052178114,0.9969806476154248,0.99698067173924,42062.0
